Sim,NH,Tropics,SH
Prior,52.52451609511447,94.30115356337315,5.594580504727161 
Stepwise,41.669091492474465,93.24813750853943,5.072637396089954
Simul,51.2018897106133,93.91362376623486,5.523038628313411
